coin,	price,	volume,	market_cap
Bitcoin,	$20045.21,	$36433733919,	$383885837229,
Ethereum,	$1603.48,	$18843018115,	$193340394123,
Tether,	$1.00,	$48814876729,	$68025160138,
USD Coin,	$0.999802,	$6340110020,	$50754586703,
BNB,	$275.54,	$888407725,	$44989540802,
Binance USD,	$1.00,	$10396212120,	$20536953092,
XRP,	$0.338466,	$1151539919,	$16848192038,
Cardano,	$0.470178,	$634583416,	$15901533204,
Solana,	$33.11,	$857876972,	$11716114830,
Polkadot,	$7.05,	$302369531,	$8114580421,
Dogecoin,	$0.060370806394,	$352248356,	$8008546029,
Shiba Inu,	$0.000011869904,	$353566436,	$6996978446,
Lido Staked Ether,	$1561.73,	$45576948,	$6728556194,
Dai,	$0.999328,	$698536571,	$6387979581,
Polygon,	$0.841748,	$397218682,	$6264337615,
TRON,	$0.060942244919,	$335516388,	$5628114178,
Avalanche,	$18.66,	$350531222,	$5518093160,
Wrapped Bitcoin,	$20025.66,	$267127092,	$5002258339,
Ethereum Classic,	$36.43,	$1839853025,	$4980824665,
LEO Token,	$5.10,	$1944729,	$4808725932,
Uniswap,	$5.97,	$99155957,	$4501719929,
Litecoin,	$59.22,	$515664000,	$4205371777,
Cosmos Hub,	$13.44,	$356863467,	$3932521483,
OKB,	$15.32,	$17602001,	$3904943451,
NEAR Protocol,	$4.36,	$280653514,	$3431156439,
Chainlink,	$7.19,	$505138130,	$3356756979,
FTX,	$24.68,	$73173707,	$3306707070,
Cronos,	$0.109585,	$21648619,	$2768446967,
Monero,	$148.28,	$100935214,	$2691482476,
Stellar,	$0.103762,	$88656626,	$2630574563,
Bitcoin Cash,	$117.55,	$187201211,	$2254515027,
Algorand,	$0.294464,	$63969099,	$2037696858,
Flow,	$1.81,	$77159561,	$1877064390,
Terra Luna Classic,	$0.000268715322,	$1188037001,	$1837275009,
VeChain,	$0.023603975147,	$82799337,	$1711157149,
Filecoin,	$5.81,	$189502698,	$1640568033,
Internet Computer,	$6.15,	$45162988,	$1597987204,
ApeCoin,	$4.99,	$323075570,	$1567735230,
Chain,	$0.067656607718,	$3945104,	$1453450031,
EOS,	$1.43,	$381229504,	$1443577225,
Hedera,	$0.062111381371,	$46103931,	$1426588874,
Frax,	$0.998772,	$12659539,	$1419029917,
Tezos,	$1.54,	$45045762,	$1386563161,
Decentraland,	$0.725198,	$128443788,	$1315069048,
The Sandbox,	$0.873789,	$193264510,	$1310220372,
Quant,	$96.76,	$22467384,	$1298534852,
Axie Infinity,	$12.97,	$73014769,	$1166972519,
Aave,	$80.66,	$162917210,	$1136732480,
Elrond,	$48.78,	$34510597,	$1120020629,
Theta Network,	$1.09,	$37106872,	$1085190656,
TrueUSD,	$0.999944,	$134141562,	$1070097575,
Lido DAO,	$1.71,	$101836807,	$1067232727,
Bitcoin SV,	$52.96,	$40890216,	$1019855447,
cUSDC,	$0.022645185965,	$202.53,	$986072741,
Chiliz,	$0.181688,	$297740460,	$970712163,
Pax Dollar,	$0.999031,	$5486664,	$968642574,
KuCoin,	$9.25,	$1941639,	$904080930,
eCash,	$0.000044820499,	$198110003,	$859257629,
Evmos,	$2.86,	$3646269,	$847966865,
Celsius Network,	$2.00,	$36088546,	$841442043,
The Graph,	$0.110051,	$41282356,	$814411029,
BitTorrent,	$0.000000860224,	$21538868,	$808626371,
Huobi BTC,	$20063.24,	$236178,	$781854503,
Zcash,	$59.90,	$39030819,	$767912947,
Ravencoin,	$0.063723570783,	$495343970,	$743400346,
IOTA,	$0.264514,	$18193077,	$734947055,
USDD,	$0.995985,	$112412951,	$722419729,
Huobi,	$4.62,	$9396663,	$709018694,
Radix,	$0.063960669884,	$458095,	$640603024,
Gate,	$4.29,	$2703849,	$626721072,
NEO,	$8.89,	$36620159,	$626372612,
Klaytn,	$0.206173,	$29284331,	$622128026,
Synthetix Network,	$2.61,	$51326229,	$621831282,
Maker,	$687.06,	$23287494,	$619254860,
Fantom,	$0.242226,	$179249282,	$615409297,
Neutrino USD,	$0.901597,	$1511556,	$613178184,
BitDAO,	$0.561484,	$101283551,	$603889368,
PancakeSwap,	$4.10,	$43475113,	$572362224,
Rocket Pool,	$30.21,	$2655058,	$567181029,
Osmosis,	$1.27,	$18300391,	$567136945,
cDAI,	$0.022108078285,	$304.58,	$549721836,
PAX Gold,	$1686.35,	$7667437,	$548789903,
DeFiChain,	$0.923971,	$5928236,	$541482228,
Helium,	$4.10,	$18353780,	$525514437,
THORChain,	$1.74,	$72263957,	$523191006,
Zilliqa,	$0.034124633011,	$48862450,	$506180640,
NEXO,	$0.888223,	$6317082,	$497404929,
cETH,	$32.21,	$940.51,	$494561869,
Enjin Coin,	$0.491654,	$47619709,	$491654200,
Dash,	$43.82,	$112003730,	$478204495,
Arweave,	$9.45,	$13814171,	$472531848,
Basic Attention,	$0.316293,	$49210864,	$472382368,
Terra,	$2.89,	$1269242548,	$467930707,
Stacks,	$0.347867,	$6752179,	$462952327,
Tokenize Xchange,	$5.75,	$12546581,	$459927310,
Waves,	$4.33,	$68878883,	$433345226,
Amp,	$0.005574911783,	$6596220,	$429229630,
Bitcoin Gold,	$24.05,	$12571304,	$421140925,
Tether Gold,	$1708.86,	$1676770,	$420604364,
Trust Wallet,	$0.995440,	$9691082,	$414749835,
